Titolo;Tipologia accordo;Settore;Contraenti;Data stipula;Data decorrenza;Data scadenza economica;Data scadenza contrattuale;Categoria
"Accordo collettivo per la disciplina delle collaborazioni a progetto nelle attività di vendita di beni e servizi e di recupero crediti realizzati attraverso call center "outbound", stipulato con riferimento al CCNL TLC";"Verbale Integrativo";"Aziende di Servizi";"ASSTEL;ASSOCONTACT;SLC CGIL;FISTEL CISL;UILCOM UIL";"01/08/2013";"";"";"";"TELECOMUNICAZIONI"
"Accordo in tema di Convenzione per i diritti sindacali";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FIBA CISL";"22/12/2009";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Accordo di rinnovo del CCNL per i piloti collaudatori sperimentatori e di produzione di aziende di costruzioni aerospaziali";"Accordo di rinnovo";"Trasporti";"AIAD;ANPICO";"16/06/2005";"01/07/2005";"";"30/06/2009";"PILOTI Collaudatori Dip. da Az. di Costruzioni Aerospaziali"
"Rinnovo CCNL Attività Minerarie";"Accordo di rinnovo";"Chimici";"ASSOMINERARIA;FILCEM CGIL;FEMCA CISL;UILCEM UIL";"29/09/2008";"01/04/2008";"31/03/2010";"31/03/2012";"MINERO-METALLURGICHE: Industrie"
"Ipotesi di accordo per il rinnovo del CCNL per i dipendenti della piccola e media industria della comunicazione, dell'informatica, dei servizi innovativi e della microimpresa";"Accordo di rinnovo";"Poligrafici e Spettacolo";"UNIGEC CONFAPI;UNIMATICA CONFAPI;CONFAPI;SLC CGIL;FISTEL CISL;UILCOM UIL";"29/07/2013";"01/07/2012";"";"30/06/2015";"COMUNICAZIONE, INFORMATICA E SERVIZI INNOVATIVI: P.M.I."
"CCNL per i dipendenti da istituti e imprese di vigilanza privata e servizi fiduciari";"Testo definitivo";"Commercio";"ASSIV; LEGACOOP SERVIZI; FEDERLAVORO E SERVIZI CONFCOOPERATIVE; AGCI SERVIZI; UGL SICUREZZA CIVILE";"08/04/2013";"01/02/2013";"";"31/12/2015";"VIGILANZA"
"Ipotesi di accordo per il rinnovo del CCNL 18/03/2014 per gli addetti all'industria delle piastrelle di ceramica, dei materiali refrattari, ceramica sanitaria, di porcellane e ceramiche per uso domestico e ornamentale, di ceramica tecnica, di tubi in gres";"Accordo di rinnovo";"Chimici";"CONFINDUSTRIA CERAMICA;FILCTEM CGIL;FEMCA CISL;UILTEC UIL";"16/11/2016";"01/07/2016";"";"31/12/2019";"PIASTRELLE E REFRATTARI: Industrie"
"CCNL per i dipendenti delle imprese di acconciatura, estetica, tricologia non curativa, tatuaggio, piercing e centri benessere";"Testo definitivo";"Commercio";"CONFARTIGIANATO BENESSERE ACCONCIATORI;CONFARTIGIANATO BENESSERE  ESTETICA;CNA UNIONE BENESSERE E SANITA';CASARTIGIANI;CLAAI FEDERNAS UNAMEM;FILCAMS CGIL;UILTUCS UIL";"03/10/2011";"01/01/2010";"";"31/12/2012";"PARRUCCHIERI: Artigiane"
"Accordo in tema di contrattualizzazione del rapporto di impiego del personale della carriera direttiva";"Accordo di rinnovo";"Credito Assicurazioni";"BANCA D'ITALIA; FALBI; FIBA CISL; FABI";"13/07/2010";"01/01/2010";"";"31/12/2012";"BANCARI: Banca D'Italia - carriera Direttiva"
"Accordo per il rinnovo del CCNL Attività Minerarie 19 ottobre 2010";"Accordo di rinnovo";"Chimici";"ASSOMINERARIA;FILCTEM CGIL;FEMCA CISL;UILTEC UIL";"19/12/2013";"01/04/2013";"";"31/03/2016";"MINERO-METALLURGICHE: Industrie"
"Normative per il Personale Civile non Statunitense delle Forze Armate U.S.A. in Italia";"Testo definitivo";"Altri Vari";"JCPC ITALY;U.S. NAVAL FORCES;U.S. ARMY;U.S. AIR FORCES;UILTUCS;FISASCAT CISL;CISL";"06/09/2013";"01/11/2013";"";"31/10/2016";"BASI USA Dipendenti Civili non Statunitensi"
"Accordo negoziale recante norme in tema di rappresentanti dei lavoratori per la sicurezza";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FISAC CGIL";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Accordo negoziale con il quale viene definito il quadriennio 2006-2009  per il personale della carriera direttiva";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;UILCA UIL";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Ipotesi di accordo per il rinnovo del CCNL per i dipendenti da aziende del settore turismo";"Accordo di rinnovo";"Commercio";"FEDERALBERGHI;FIPE;FIAVET;FAITA;CONFCOMMERCIO IMPRESE PER L'ITALIA;FEDERRETI;FILCAMS CGIL;FISASCAT CISL;UILTUCS";"20/02/2010";"01/01/2010";"";"30/04/2013";"TURISMO (AZIENDE CONFCOMMERCIO)"
"Preaccordo in tema di copertura sanitaria per il 2010 per il personale in servizio e in quiescenza";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;CGIL;CIDA;SIBC;FABI;UIL";"30/12/2009";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"Adesione della FABI all'accordo cornice in tema di contrattualizzazione del rapporto di impiego del personale della carriera operativa, dei servizi generali e di sicurezza e operaia definito il 18/02/2010";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FABI";"20/04/2010";"01/01/2010";"";"31/12/2012";"BANCARI: Banca D'Italia - carriera Operativa"
"Accordo in tema di copertura delle spese sanitarie per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;SINDIRETTIVO CIDA";"28/04/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"Verbale di accordo per il rinnovo del CCNL attività minerarie";"Accordo di rinnovo";"Chimici";"UGL CHIMICI;ASSOMINERARIA";"19/10/2010";"";"";"31/03/2012";"MINERO-METALLURGICHE: Industrie"
"Ipotesi di accordo per il rinnovo del CCNL Area Alimentazione-Panificazione";"Accordo di rinnovo";"Alimentaristi - Agroindustriale";"CNA Alimentare;CONFARTIGIANATO Alimentazione;CASARTIGIANI;CLAAI;FLAI CGIL;FAI CISL;UILA UIL";"19/11/2013";"01/01/2013";"";"31/12/2015";"ALIMENTARISTI: Artigiane"
"CCNL della dirigenza dei giornali quotidiani";"Testo definitivo";"Poligrafici e Spettacolo";"FIEG;FEDERMANAGER;SINDACATO NAZIONALE DIRIGENTI GIORNALI QUOTIDIANI";"31/03/2005";"01/01/2005";"31/12/2006";"31/12/2008";"GIORNALI E QUOTIDIANI: Direttori e Dirigenti"
"CCNL per i lavoratori dipendenti delle imprese di autotrasporto e spedizione merci dell'artigianato, delle piccole e medie imprese e della cooperazione";"Testo definitivo";"Trasporti";"ACIS;FAMAR;CONFAMAR;(sottoscrizione della UNIONLIBERI in data 13/4/2016)";"23/03/2016";"01/04/2016";"";"31/12/2020";"AUTOTRASPORTO E SPEDIZIONE MERCI (ACIS-FAMAR)"
"CCNL per la disciplina dei lavoratori dipendenti dalle PMI e i soci e dipendenti delle cooperative in outsourcing";"Testo definitivo";"Altri Vari";"COOPITALIANE;IMPRESA ITALIA;CONFSAAP;AECP;UPLA;CEPA A;CEPA A TERZIARIO;CEPA A AIMA;FASPI CONFSAL;ALDEPI;ALPPI;FENALPI;CONFLAVORATORI CONFSAL;CONFAIL";"28/05/2014";"01/06/2014";"";"31/05/2017";"OUTSOURCING: dipendenti dalle PMI, soci e dipendenti delle cooperative"
"CARTARIE E CARTOTECNICHE-EDITORIA E GRAFICA: P.M.I.";"Economico 2° biennio";"Poligrafici e Spettacolo";"Fistel-Cisl - Slc - Uilcom - Unigec-Confapi - Unimatica-Confapi";"20/06/2003";"01/01/2003";"";"31/12/2004";"COMUNICAZIONE, INFORMATICA E SERVIZI INNOVATIVI: P.M.I."
"Stesura 10 marzo 2010 dell'Accordo Economico Collettivo per la disciplina del rapporto di Agenzia e rappresentanza commerciale del settore del commercio 16 febbraio 2009";"Verbale Integrativo";"Commercio";"CONFCOMMERCIO;CONFCOOPERATIVE;CONFESERCENTI;FNAARC;FILCAMS CGIL;FISASCAT CISL;UILTUCS UIL;FIARC;UGL TERZIARIO;USARCI";"10/03/2010";"";"";"29/02/2012";"AGENTI DI COMMERCIO (Sett. Commercio)"
"CCNL per i dipendenti dalle piccole e medie industrie esercenti la produzione del cemento, del fibro-cemento, della calce e del gesso";"Testo definitivo";"Edilizia";"CEPA A;CEPA A COSTRUTTORI EDILI E AFFINI;CILA;LUCI;SI CEL;FNLE;CONF LAVORATORI";"26/03/2013";"26/03/2013";"";"25/03/2016";"CEMENTO, CALCE, GESSO: P.M.I. - CEPA-A"
"Accordo per il rinnovo del CCNL per i dipendenti dalle aziende operanti nei settori legno, sughero, mobile, arredamento e boschivi forestali 1/4/2010-31/3/2013";"Accordo di rinnovo";"Edilizia";"FEDERLEGNOARREDO; FENEAL UIL; FILCA CISL; FILLEA CGIL";"12/05/2010";"01/04/2010";"";"31/03/2013";"LEGNO, ARREDAMENTO: Industrie"
"Ipotesi di Accordo per il rinnovo del CCNL dei lavoratori dipendenti dalle imprese del sistema industriale integrato di beni e servizi tessili e medici affini";"Accordo di rinnovo";"Tessili";"ASSOSISTEMA;FEMCA CISL;FILCTEM CGIL;UILTEC UIL";"19/06/2013";"01/07/2012";"";"30/06/2015";"LAVANDERIE, TINTORIE ... : Industrie"
"Accordo negoziale in tema di trattamento economico per l'anno 2010 per il personale della carriera direttiva";"Economico 2° biennio";"Credito Assicurazioni";"BANCA D'ITALIA;UILCA UIL";"25/10/2010";"01/01/2010";"31/12/2010";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Accordo in tema di contrattualizzazione del rapporto di impiego del personale della carriera direttiva";"Accordo di rinnovo";"Credito Assicurazioni";"BANCA D'ITALIA; SINDIRETTIVO CIDA";"13/07/2010";"01/01/2010";"";"31/12/2012";"BANCARI: Banca D'Italia - carriera Direttiva"
"Accordo negoziale in tema di Convenzione per i diritti sindacali";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FISAC CGIL";"16/12/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"Rinnovo del CCNL del 7 marzo 2005 per i dipendenti d' aziende dell'industria cineaudiovisiva";"Accordo di rinnovo";"Poligrafici e Spettacolo";"ANICA;UIR;SLC CGIL;FISTEL CISL;UILCOM UIL";"02/07/2009";"01/01/2008";"";"31/12/2010";"CINEMA AUDIOVISIVI: Industrie"
"Ipotesi di accordo di rinnovo CCNL per gli addetti all'industria chimica, chimico-farmaceutica, delle fibre chimiche e dei settori abrasivi, lubrificanti e gpl";"Accordo di rinnovo";"Chimici";"FEDERCHIMICA;FARMINDUSTRIA;UGL CHIMICI;FAILC CONFAIL;FIALC CISAL";"22/09/2012";"01/11/2012";"";"31/12/2015";"CHIMICO FARMACEUTICA e AFFINI: Industrie"
"Accordo recante la disciplina pattizia attuativa in Banca d'Italia della L.146/1990 e successive modifiche";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FIBA CISL";"22/12/2009";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Verbale di incontro per il rinnovo contrattuale del CCNL del trasporto pubblico locale";"Accordo di rinnovo";"Trasporti";"ANAV;ASSTRA;FILT CGIL;FIT CISL;UIL TRASPORTI;UGL TRASPORTI;FAISA CISAL";"26/04/2013";"";"";"";"AUTOFERROTRANVIERI"
"Accordo in tema di Convenzione per i diritti sindacali";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FISAC CGIL;SINDIRETTIVO CIDA;SIBC CISAL;FABI;UILCA UIL";"22/12/2009";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"Accordo cornice in tema di contrattualizzazione del rapporto di impiego del personale della carriera operativa, dei servizi generali e di sicurezza e operaia";"Accordo di rinnovo";"Credito Assicurazioni";"BANCA D'ITALIA;UILCA UIL";"18/02/2010";"01/01/2010";"";"31/12/2012";"BANCARI: Banca D'Italia - carriera Operativa"
"CCNL per i dipendenti delle imprese artigiane esercenti l'attività di escavazione trivellazione e lavorazione dei materiali lapidei";"Testo definitivo";"Edilizia";"USAE FNEL;FNPSL;CONFIMPRESEITALIA;CONF EURO PA;CILA;PMI AGRIGENTO;CONFIMIT;ENEAS;ASSOCOSTRUTTORI;ASPIN";"27/03/2010";"30/03/2010";"";"29/03/2014";"LAPIDEI (Estr. e Lavoraz.): imprese artigiane (USAE)"
"Accordo negoziale in tema di codice etico per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;SIBC CISAL";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Accordo per la stipula dell'assicurazione contro i rischi di morte e di invalidità permanente in favore del personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI";"14/01/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Accordo cornice in tema di contrattualizzazione del rapporto di impiego del personale della carriera operativa, dei servizi generali e di sicurezza e operaia";"Accordo di rinnovo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI;FIBA CISL";"18/02/2010";"01/01/2010";"";"31/12/2012";"BANCARI: Banca D'Italia - carriera Operativa"
"Accordo negoziale con il quale viene definito il quadriennio 2006-2009  per il personale della carriera direttiva";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;SIBC CISAL";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"CCNL per le imprese private operanti nel settore della distribuzione, del recapito e dei servizi postali";"Testo definitivo";"Aziende di Servizi";"CNA; SLC CGIL; SLP CISL; UIL POST; UILTRASPORTI";"08/02/2011";"01/01/2010";"";"31/12/2012";"RECAPITO CORRISPONDENZA (CNA)"
"Verbale di Accordo su Assistenza Sanitaria Integrativa - CCNL del TRASPORTO AEREO - Parte specifica GESTORI AEROPORTUALI";"Verbale integrativo";"Trasporti";"ASSAEROPORTI; FILT CGIL; FIT CISL; UILTRASPORTI; UGL Trasporto Aereo";"01/10/2014";"01/01/2015";"";"";"AEREI: Trasporto Aereo"
"Accordo negoziale con il quale viene definito il quadriennio 2006-2009  per il personale della carriera direttiva";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI;FABI;FIBA CISL";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Ipotesi di accordo per il rinnovo del CCNL dipendenti dalle imprese del sistema industriale integrato di beni e servizi tessili e medici affini";"Accordo di rinnovo";"Tessili";"ASSOSISTEMA;UGL CHIMICI TESSILI";"19/06/2013";"01/07/2012";"";"30/06/2015";"LAVANDERIE, TINTORIE ... : Industrie"
"CCNL per i dipendenti delle imprese esercenti attività nel settore autotrasporto, spedizione merci, logistica ed affini";"Testo definitivo";"Trasporti";"TRANSFIGOROUTE ITALIA ASSOTIR;FAST CONFSAL";"23/01/2014";"01/01/2014";"";"31/12/2016";"AUTOTRASPORTO E SPEDIZIONE MERCI (ASSOTIR-FAST CONFSAL)"
"Accordo negoziale recante norme in tema di rappresentanti dei lavoratori per la sicurezza";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;UILCA UIL";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Accordo negoziale in tema di Convenzione per i diritti sindacali";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI;FABI;FIBA CISL";"16/12/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Ipotesi di accordo 30 maggio 2011 per il rinnovo del CCNL per i dipendenti delle aziende grafiche ed affini e delle aziende editoriali anche multimediali";"Accordo di rinnovo";"Poligrafici e Spettacolo";"ASSOGRAFICI;AIE;ANES;SLC CGIL;FISTEL CISL;UILCOM UIL";"30/05/2011";"01/07/2011";"";"31/03/2013";"EDITORIA E GRAFICA: Industrie"
"CENTRI DI ELABORAZIONE DATI: Dirigenti e Quadri di direzione";"Testo definitivo";"Commercio";"ASSOCED;CONFTERZIARIO;CIU";"18/04/2003";"01/05/2003";"30/04/2005";"30/04/2007";"CENTRI DI ELABORAZIONE DATI: Dirigenti e Quadri di direzione"
"CCNL per i dipendenti dalle aziende del settore commercio";"Testo definitivo";"Commercio";"CICAS; CEI; CONFIMPRESA; SIA; ISA; SILSE";"19/07/2010";"01/08/2010";"";"31/07/2013";"COMMERCIO (CICAS CEI CONFIMPRESA SIA ISA SILSE)"
"Accordo negoziale con il quale viene definito il quadriennio 2006-2009  per il personale della carriera direttiva";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FISAC CGIL";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Accordo in tema di Convenzione per i diritti sindacali per le Divisioni specializzate nei compiti di vigilanza bancaria e finanziaria della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI";"12/06/2009";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"CCNL per i dipendenti delle imprese esercenti attività del settore: "COMMERCIO E SERVIZI" per i lavoratori dipendenti delle imprese esercenti servizi del Commercio e dei Servizi nonché affini ed ausiliarie al settore ed assimilabili ai suindicati settori delle Piccole e Medie Imprese dell'Artigianato e della Cooperazione";"Testo definitivo";"Commercio";"NORD INDUSTRIALE;FAMAR";"26/02/2015";"01/03/2015";"";"31/12/2018";"COMMERCIO E SERVIZI (NORD INDUSTRIALE-FAMAR)"
"CCNL per i dipendenti di AZIENDE ARTIGIANE, DEL SETTORE INDUSTRIA E COOPERATIVE";"Testo definitivo";"Altri Vari";"CONFIMPRENDITORI;USIL";"05/03/2015";"09/03/2015";"";"08/03/2018";"AZIENDE ARTIGIANE, DEL SETTORE INDUSTRIA E COOPERATIVE"
"CCNL settore costruzioni (per i lavoratori e impiegati della piccola, media, grande impresa edile, dell'artigianato edile e affini, delle cooperative del settore edilizio) in vigore dal 01/04/2010 al 31/12/2016";"Testo definitivo";"Edilizia";"SUL SINDACATO UNITARIO DEI LAVORATORI;MCR IMP ASS  MICRO PICCOLE MEDIE IMPRESE ED ARTIGIANE ASSOCIATE";"31/03/2010";"01/04/2010";"";"31/12/2016";"EDILIZIA: CCNL settore costruzioni"
"Accordo di rinnovo 14 novembre 2011 ad integrazione e modifica del CCNL 26 maggio 2009";"Accordo di rinnovo";"Commercio";"FEDERFARMA; FILCAMS CGIL; FISASCAT CISL; UILTUCS UIL";"14/11/2011";"01/02/2010";"";"31/01/2013";"FARMACIE PRIVATE"
"Protocollo d'intesa sul CCNL in vigore dal 01.06.2010 al 31.05.2013 per i lavoratori dipendenti delle aziende operanti nelle aree pubbliche (ex ambulanti)";"Testo definitivo";"Commercio";"CESAC;FAPI;COSNIL;COSNIL TERZIARIO";"23/05/2010";"01/06/2010";"";"31/05/2013";"AZIENDE IN AREE PUBBLICHE (EX AMBULANTI)"
"Accordo negoziale in tema di codice etico per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;SINDIRETTIVO CIDA";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"Accordo negoziale in tema di codice etico per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;SIBC CISAL";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"Verbale di accordo per il rinnovo del CCNL per i dipendenti delle aziende operanti nei settori Legno, Sughero, Mobile, Arredamento e Boschivi forestali";"Accordo di rinnovo";"Edilizia";"FEDERLEGNOARREDO; UGL COSTRUZIONI";"27/05/2010";"01/04/2010";"";"31/03/2013";"LEGNO, ARREDAMENTO: Industrie"
"CCNL 22 DICEMBRE 2010 PER I DIRIGENTI E PER I QUADRI SUPERIORI DELLE PICCOLE E MEDIE AZIENDE PRODUTTRICI DI BENI E SERVIZI";"Testo definitivo";"Altri Vari";"CONFAPI;FEDERMANAGER";"22/12/2010";"01/01/2011";"";"31/12/2013";"DIRIGENTI: P.M.I."
"CCNL per i dipendenti delle imprese esercenti attività del settore: "AGRICOLTURA" delle piccole e medie imprese e della cooperazione agricola";"Testo definitivo";"Agricoltura";"NORD INDUSTRIALE;FAMAR";"26/02/2015";"01/03/2015";"";"31/12/2018";"AGRICOLTURA: PMI e Cooperative (NORD INDUSTRIALE-FAMAR)"
"Verbale di accordo 9/3/2011 per il rinnovo del biennio economico del CCNL rinnovato in data 10 gennaio 2008 per il personale non imbarcato dipendente da cooperative esercenti attività di pesca marittima, attività di maricoltura, acquacoltura e vallicoltura";"Economico secondo biennio";"Alimentaristi - Agroindustriale";"ACGI AGRITAL;LEGA PESCA;FEDERCOOPESCA CONFCOOPERATIVE;FAI CISL;FLAI CGIL;UILAPESCA";"09/03/2011";"01/01/2009";"";"31/12/2010";"PESCA: Cooperative"
"Attuazione delle disposizioni in materia di contratto a tempo determinatoe di apprendistato di cui alla legge 16 maggio 2014, n. 78 e al titolo IV del CCNL Turismo 18 gennaio 2014";"Verbale Integrativo";"Commercio";"FEDERALBERGHI;FAITA;CONFCOMMERCIO;FILCAMS CGIL;FISASCAT CISL;UILTUCS UIL";"16/06/2014";"";"";"";"TURISMO (AZIENDE CONFCOMMERCIO)"
"CCNL per i dipendenti delle PMI esercenti la produzione del cemento, del fibro-cemento, della calce e del gesso";"Testo definitivo";"Edilizia";"USAE FNLE;FNPSL;CONFIMPRESEITALIA;CONF EURO PA;CILA;PMI AGRIGENTO;CONFIMIT;ENEAS;ASSOCOSTRUTTORI;ASPIN";"27/03/2010";"27/03/2010";"26/03/2012";"27/03/2014";"CEMENTO, CALCE, GESSO: P.M.I. - USAE"
"Rinnovo CCNL per gli addetti all'industria chimica, chimico-farmaceutica, delle fibre chimiche e dei settori abrasivi, lubrificanti e GPL";"Accordo di rinnovo";"Chimici";"FEDERCHIMICA;FARMINDUSTRIA;UGL CHIMICI;FAILC CONFAIL;FIALC CISAL";"18/12/2009";"01/01/2010";"";"31/12/2012";"CHIMICO FARMACEUTICA e AFFINI: Industrie"
"Verbale di Accordo di modifica della parte retributiva del CCNL 20/7/2000";"Economico 2° biennio";"Trasporti";"AIAD;ANPICO";"06/06/2003";"01/07/2003";"";"30/06/2004";"PILOTI Collaudatori Dip. da Az. di Costruzioni Aerospaziali"
"CCNL per i dipendenti delle Aziende del settore TURISMO E PUBBLICI ESERCIZI";"Testo definitivo";"Commercio";"CNAI;UCICT;FISMIC CONFSAL;FILCOM FISMIC";"04/03/2014";"01/03/2014";"";"28/02/2017";"TURISMO (fino a 14 dipendenti)"
"CCNL 19 dicembre 2008 per i dirigenti dipendenti da Equitalia Spa, Riscossione Sicilia Spa e società partecipate";"Testo definitivo";"Credito Assicurazioni";"EQUITALIA SPA;RISCOSSIONE SICILIA SPA;DIRCREDITO FD;FABI;FIBA CISL;FISAC CGIL;UGL;UILCA";"19/12/2008";"01/01/2008";"";"31/12/2010";"Concessionari Servizi Tributi: Dirigenti"
"Accordo in tema di Convenzione per i diritti sindacali per le Divisioni specializzate nei compiti di vigilanza bancaria e finanziaria della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI";"12/06/2009";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Ipotesi di CCNL per il personale non imbarcato dipendente da cooperative esercenti attività di pesca marittima, attività di maricoltura, acquacoltura e vallicoltura";"Accordo di rinnovo";"Alimentaristi - Agroindustriale";"ACGI AGRITAL; FEDERCOOPESCA CONFCOOPERATIVE; LEGACOOP Agroalimentare Dipartimento Pesca; FAI CISL; FLAI CGIL; UILAPESCA";"10/01/2008";"01/01/2007";"31/12/2008";"31/12/2010";"PESCA: Cooperative"
